"","dataSource","subject_id","activity","variable","mean"
"1","training",1,"STANDING","time_body_acceleration_mean_x",0.265696920582133
"2","training",1,"STANDING","time_body_acceleration_mean_y",-0.0182981725176081
"3","training",1,"STANDING","time_body_acceleration_mean_z",-0.10784573454611
"4","training",1,"STANDING","time_body_acceleration_std_x",-0.545795331328326
"5","training",1,"STANDING","time_body_acceleration_std_y",-0.367716218227378
"6","training",1,"STANDING","time_body_acceleration_std_z",-0.502645746562824
"7","training",1,"STANDING","time_gravity_acceleration_mean_x",0.744867411573487
"8","training",1,"STANDING","time_gravity_acceleration_mean_y",-0.0825562579855908
"9","training",1,"STANDING","time_gravity_acceleration_mean_z",0.072339870389049
"10","training",1,"STANDING","time_gravity_acceleration_std_x",-0.959859435936599
"11","training",1,"STANDING","time_gravity_acceleration_std_y",-0.951150627458213
"12","training",1,"STANDING","time_gravity_acceleration_std_z",-0.925817590867435
"13","training",1,"STANDING","time_body_acceleration_jerk_mean_x",0.0770930495126801
"14","training",1,"STANDING","time_body_acceleration_jerk_mean_y",0.0165908438802305
"15","training",1,"STANDING","time_body_acceleration_jerk_mean_z",-0.00910758730117003
"16","training",1,"STANDING","time_body_acceleration_jerk_std_x",-0.524721922818732
"17","training",1,"STANDING","time_body_acceleration_jerk_std_y",-0.470412403511239
"18","training",1,"STANDING","time_body_acceleration_jerk_std_z",-0.717322274881844
"19","training",1,"STANDING","time_body_gyro_mean_x",-0.0208764064320173
"20","training",1,"STANDING","time_body_gyro_mean_y",-0.0880722729400576
"21","training",1,"STANDING","time_body_gyro_mean_z",0.0862641666597983
"22","training",1,"STANDING","time_body_gyro_std_x",-0.686555715201729
"23","training",1,"STANDING","time_body_gyro_std_y",-0.450979810499568
"24","training",1,"STANDING","time_body_gyro_std_z",-0.597496136795101
"25","training",1,"STANDING","time_body_gyro_jerk_mean_x",-0.0971120197265994
"26","training",1,"STANDING","time_body_gyro_jerk_mean_y",-0.0417164808293948
"27","training",1,"STANDING","time_body_gyro_jerk_mean_z",-0.0471393985477522
"28","training",1,"STANDING","time_body_gyro_jerk_std_x",-0.637812687210375
"29","training",1,"STANDING","time_body_gyro_jerk_std_y",-0.634472244550432
"30","training",1,"STANDING","time_body_gyro_jerk_std_z",-0.664591977786455
"31","training",1,"STANDING","time_body_acceleration_magnitude_mean",-0.453632943768818
"32","training",1,"STANDING","time_body_acceleration_magnitude_std",-0.497096402038329
"33","training",1,"STANDING","time_gravity_acceleration_magnitude_mean",-0.453632943768818
"34","training",1,"STANDING","time_gravity_acceleration_magnitude_std",-0.497096402038329
"35","training",1,"STANDING","time_body_acceleration_jerk_magnitude_mean",-0.545431612066571
"36","training",1,"STANDING","time_body_acceleration_jerk_magnitude_std",-0.515922167555159
"37","training",1,"STANDING","time_body_gyro_magnitude_mean",-0.475404785802305
"38","training",1,"STANDING","time_body_gyro_magnitude_std",-0.499839593745821
"39","training",1,"STANDING","time_body_gyro_jerk_magnitude_mean",-0.639517432642651
"40","training",1,"STANDING","time_body_gyro_jerk_magnitude_std",-0.652050770910663
"41","training",1,"STANDING","frequency_body_acceleration_mean_x",-0.531895161258213
"42","training",1,"STANDING","frequency_body_acceleration_mean_y",-0.406435448904438
"43","training",1,"STANDING","frequency_body_acceleration_mean_z",-0.596411165253602
"44","training",1,"STANDING","frequency_body_acceleration_std_x",-0.553060616663401
"45","training",1,"STANDING","frequency_body_acceleration_std_y",-0.390150939647061
"46","training",1,"STANDING","frequency_body_acceleration_std_z",-0.498583091676081
"47","training",1,"STANDING","frequency_body_acceleration_mean_freq_x",-0.180558714010749
"48","training",1,"STANDING","frequency_body_acceleration_mean_freq_y",0.0576291646962536
"49","training",1,"STANDING","frequency_body_acceleration_mean_freq_z",0.0583692776609798
"50","training",1,"STANDING","frequency_body_acceleration_jerk_mean_x",-0.547348892435764
"51","training",1,"STANDING","frequency_body_acceleration_jerk_mean_y",-0.507343617969859
"52","training",1,"STANDING","frequency_body_acceleration_jerk_mean_z",-0.695305113832853
"53","training",1,"STANDING","frequency_body_acceleration_jerk_std_x",-0.543979776127867
"54","training",1,"STANDING","frequency_body_acceleration_jerk_std_y",-0.466251676533372
"55","training",1,"STANDING","frequency_body_acceleration_jerk_std_z",-0.737861932680115
"56","training",1,"STANDING","frequency_body_acceleration_jerk_mean_freq_x",-0.0488005965884726
"57","training",1,"STANDING","frequency_body_acceleration_jerk_mean_freq_y",-0.21527915818415
"58","training",1,"STANDING","frequency_body_acceleration_jerk_mean_freq_z",-0.0964496376997118
"59","training",1,"STANDING","frequency_body_gyro_mean_x",-0.623219182311527
"60","training",1,"STANDING","frequency_body_gyro_mean_y",-0.505309434070029
"61","training",1,"STANDING","frequency_body_gyro_mean_z",-0.553529065425648
"62","training",1,"STANDING","frequency_body_gyro_std_x",-0.708263420861671
"63","training",1,"STANDING","frequency_body_gyro_std_y",-0.429825832648703
"64","training",1,"STANDING","frequency_body_gyro_std_z",-0.650476162132565
"65","training",1,"STANDING","frequency_body_gyro_mean_freq_x",-0.0320324102759078
"66","training",1,"STANDING","frequency_body_gyro_mean_freq_y",-0.0901517235974063
"67","training",1,"STANDING","frequency_body_gyro_mean_freq_z",-0.0180063943472334
"68","training",1,"STANDING","frequency_body_acceleration_magnitude_mean",-0.478448523354179
"69","training",1,"STANDING","frequency_body_acceleration_magnitude_std",-0.589710231217867
"70","training",1,"STANDING","frequency_body_acceleration_magnitude_mean_freq",0.142062162506138
"71","training",1,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean",-0.499075765624092
"72","training",1,"STANDING","frequency_body_body_acceleration_jerk_magnitude_std",-0.541823079570029
"73","training",1,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean_freq",0.200055179527839
"74","training",1,"STANDING","frequency_body_body_gyro_magnitude_mean",-0.535002770337752
"75","training",1,"STANDING","frequency_body_body_gyro_magnitude_std",-0.566576670397695
"76","training",1,"STANDING","frequency_body_body_gyro_magnitude_mean_freq",0.0649309438160231
"77","training",1,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean",-0.645970655298847
"78","training",1,"STANDING","frequency_body_body_gyro_jerk_magnitude_std",-0.685811262634006
"79","training",1,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean_freq",0.198031580056455
"80","training",3,"STANDING","time_body_acceleration_mean_x",0.273428719636364
"81","training",3,"STANDING","time_body_acceleration_mean_y",-0.017856067384956
"82","training",3,"STANDING","time_body_acceleration_mean_z",-0.106492632429097
"83","training",3,"STANDING","time_body_acceleration_std_x",-0.623413602046921
"84","training",3,"STANDING","time_body_acceleration_std_y",-0.480015920697654
"85","training",3,"STANDING","time_body_acceleration_std_z",-0.653625579293255
"86","training",3,"STANDING","time_gravity_acceleration_mean_x",0.707814353343108
"87","training",3,"STANDING","time_gravity_acceleration_mean_y",-0.0260590480328739
"88","training",3,"STANDING","time_gravity_acceleration_mean_z",0.0480937904190616
"89","training",3,"STANDING","time_gravity_acceleration_std_x",-0.966457565630499
"90","training",3,"STANDING","time_gravity_acceleration_std_y",-0.9445645371261
"91","training",3,"STANDING","time_gravity_acceleration_std_z",-0.926966278211144
"92","training",3,"STANDING","time_body_acceleration_jerk_mean_x",0.0701731261988856
"93","training",3,"STANDING","time_body_acceleration_jerk_mean_y",0.0144664329060411
"94","training",3,"STANDING","time_body_acceleration_jerk_mean_z",-0.000526818872875366
"95","training",3,"STANDING","time_body_acceleration_jerk_std_x",-0.635484688041056
"96","training",3,"STANDING","time_body_acceleration_jerk_std_y",-0.55721186773783
"97","training",3,"STANDING","time_body_acceleration_jerk_std_z",-0.796066240234604
"98","training",3,"STANDING","time_body_gyro_mean_x",-0.0248490682828446
"99","training",3,"STANDING","time_body_gyro_mean_y",-0.0743565308442815
"100","training",3,"STANDING","time_body_gyro_mean_z",0.0866875497119062
"101","training",3,"STANDING","time_body_gyro_std_x",-0.699262195705865
"102","training",3,"STANDING","time_body_gyro_std_y",-0.76302218170088
"103","training",3,"STANDING","time_body_gyro_std_z",-0.709483440322581
"104","training",3,"STANDING","time_body_gyro_jerk_mean_x",-0.0991554609633431
"105","training",3,"STANDING","time_body_gyro_jerk_mean_y",-0.0401923943695015
"106","training",3,"STANDING","time_body_gyro_jerk_mean_z",-0.0521178264170088
"107","training",3,"STANDING","time_body_gyro_jerk_std_x",-0.689328428607038
"108","training",3,"STANDING","time_body_gyro_jerk_std_y",-0.842659862111437
"109","training",3,"STANDING","time_body_gyro_jerk_std_z",-0.743028500565982
"110","training",3,"STANDING","time_body_acceleration_magnitude_mean",-0.563140802770059
"111","training",3,"STANDING","time_body_acceleration_magnitude_std",-0.591224780306452
"112","training",3,"STANDING","time_gravity_acceleration_magnitude_mean",-0.563140802770059
"113","training",3,"STANDING","time_gravity_acceleration_magnitude_std",-0.591224780306452
"114","training",3,"STANDING","time_body_acceleration_jerk_magnitude_mean",-0.650182434328446
"115","training",3,"STANDING","time_body_acceleration_jerk_magnitude_std",-0.607658214170381
"116","training",3,"STANDING","time_body_gyro_magnitude_mean",-0.643150121648094
"117","training",3,"STANDING","time_body_gyro_magnitude_std",-0.674010290979472
"118","training",3,"STANDING","time_body_gyro_jerk_magnitude_mean",-0.784056656246334
"119","training",3,"STANDING","time_body_gyro_jerk_magnitude_std",-0.80366136372434
"120","training",3,"STANDING","frequency_body_acceleration_mean_x",-0.625733289873607
"121","training",3,"STANDING","frequency_body_acceleration_mean_y",-0.501779938505279
"122","training",3,"STANDING","frequency_body_acceleration_mean_z",-0.699656828592375
"123","training",3,"STANDING","frequency_body_acceleration_std_x",-0.623805015199413
"124","training",3,"STANDING","frequency_body_acceleration_std_y",-0.502753639795894
"125","training",3,"STANDING","frequency_body_acceleration_std_z",-0.657443765803519
"126","training",3,"STANDING","frequency_body_acceleration_mean_freq_x",-0.192817340495308
"127","training",3,"STANDING","frequency_body_acceleration_mean_freq_y",0.0389282523284457
"128","training",3,"STANDING","frequency_body_acceleration_mean_freq_z",0.00447261449052786
"129","training",3,"STANDING","frequency_body_acceleration_jerk_mean_x",-0.645893496630499
"130","training",3,"STANDING","frequency_body_acceleration_jerk_mean_y",-0.582949919157742
"131","training",3,"STANDING","frequency_body_acceleration_jerk_mean_z",-0.780101644193548
"132","training",3,"STANDING","frequency_body_acceleration_jerk_std_x",-0.657844055881525
"133","training",3,"STANDING","frequency_body_acceleration_jerk_std_y",-0.559851186088408
"134","training",3,"STANDING","frequency_body_acceleration_jerk_std_z",-0.81080601659824
"135","training",3,"STANDING","frequency_body_acceleration_jerk_mean_freq_x",-0.0476941200470968
"136","training",3,"STANDING","frequency_body_acceleration_jerk_mean_freq_y",-0.236874240885924
"137","training",3,"STANDING","frequency_body_acceleration_jerk_mean_freq_z",-0.193657539305073
"138","training",3,"STANDING","frequency_body_gyro_mean_x",-0.642097719778592
"139","training",3,"STANDING","frequency_body_gyro_mean_y",-0.775144985073314
"140","training",3,"STANDING","frequency_body_gyro_mean_z",-0.670734708996481
"141","training",3,"STANDING","frequency_body_gyro_std_x",-0.719276622702346
"142","training",3,"STANDING","frequency_body_gyro_std_y",-0.758505287214076
"143","training",3,"STANDING","frequency_body_gyro_std_z",-0.751008875659824
"144","training",3,"STANDING","frequency_body_gyro_mean_freq_x",-0.102568067670674
"145","training",3,"STANDING","frequency_body_gyro_mean_freq_y",-0.167675025582991
"146","training",3,"STANDING","frequency_body_gyro_mean_freq_z",-0.0321862688221114
"147","training",3,"STANDING","frequency_body_acceleration_magnitude_mean",-0.579076453758064
"148","training",3,"STANDING","frequency_body_acceleration_magnitude_std",-0.663079838985044
"149","training",3,"STANDING","frequency_body_acceleration_magnitude_mean_freq",0.0770665587562757
"150","training",3,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean",-0.604752108072727
"151","training",3,"STANDING","frequency_body_body_acceleration_jerk_magnitude_std",-0.615643694857361
"152","training",3,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean_freq",0.11231984174566
"153","training",3,"STANDING","frequency_body_body_gyro_magnitude_mean",-0.716822144279179
"154","training",3,"STANDING","frequency_body_body_gyro_magnitude_std",-0.703839403007038
"155","training",3,"STANDING","frequency_body_body_gyro_magnitude_mean_freq",-0.0846075231245126
"156","training",3,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean",-0.810085498651026
"157","training",3,"STANDING","frequency_body_body_gyro_jerk_magnitude_std",-0.810032718739003
"158","training",3,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean_freq",0.0599628733252199
"159","training",5,"STANDING","time_body_acceleration_mean_x",0.279177960301325
"160","training",5,"STANDING","time_body_acceleration_mean_y",-0.0154833455336192
"161","training",5,"STANDING","time_body_acceleration_mean_z",-0.105661736816887
"162","training",5,"STANDING","time_body_acceleration_std_x",-0.507691011391722
"163","training",5,"STANDING","time_body_acceleration_std_y",-0.402724906078146
"164","training",5,"STANDING","time_body_acceleration_std_z",-0.646443640175497
"165","training",5,"STANDING","time_gravity_acceleration_mean_x",0.698153719072848
"166","training",5,"STANDING","time_gravity_acceleration_mean_y",0.112313109736755
"167","training",5,"STANDING","time_gravity_acceleration_mean_z",0.0921607197449904
"168","training",5,"STANDING","time_gravity_acceleration_std_x",-0.964629108807947
"169","training",5,"STANDING","time_gravity_acceleration_std_y",-0.939973777950331
"170","training",5,"STANDING","time_gravity_acceleration_std_z",-0.94207867884106
"171","training",5,"STANDING","time_body_acceleration_jerk_mean_x",0.0841019899622517
"172","training",5,"STANDING","time_body_acceleration_jerk_mean_y",0.0017656830384106
"173","training",5,"STANDING","time_body_acceleration_jerk_mean_z",-0.0029537113427351
"174","training",5,"STANDING","time_body_acceleration_jerk_std_x",-0.575890535679801
"175","training",5,"STANDING","time_body_acceleration_jerk_std_y",-0.506544358609603
"176","training",5,"STANDING","time_body_acceleration_jerk_std_z",-0.78456199486755
"177","training",5,"STANDING","time_body_gyro_mean_x",-0.0294516873643046
"178","training",5,"STANDING","time_body_gyro_mean_y",-0.0774316445596026
"179","training",5,"STANDING","time_body_gyro_mean_z",0.0866267116745033
"180","training",5,"STANDING","time_body_gyro_std_x",-0.709955676983444
"181","training",5,"STANDING","time_body_gyro_std_y",-0.705638306688742
"182","training",5,"STANDING","time_body_gyro_std_z",-0.606589817380795
"183","training",5,"STANDING","time_body_gyro_jerk_mean_x",-0.103522877147351
"184","training",5,"STANDING","time_body_gyro_jerk_mean_y",-0.0490624519374172
"185","training",5,"STANDING","time_body_gyro_jerk_mean_z",-0.0506258160122517
"186","training",5,"STANDING","time_body_gyro_jerk_std_x",-0.662581310334437
"187","training",5,"STANDING","time_body_gyro_jerk_std_y",-0.774114270364238
"188","training",5,"STANDING","time_body_gyro_jerk_std_z",-0.564680771249007
"189","training",5,"STANDING","time_body_acceleration_magnitude_mean",-0.460866415568709
"190","training",5,"STANDING","time_body_acceleration_magnitude_std",-0.52162345171192
"191","training",5,"STANDING","time_gravity_acceleration_magnitude_mean",-0.460866415568709
"192","training",5,"STANDING","time_gravity_acceleration_magnitude_std",-0.52162345171192
"193","training",5,"STANDING","time_body_acceleration_jerk_magnitude_mean",-0.589313870006622
"194","training",5,"STANDING","time_body_acceleration_jerk_magnitude_std",-0.589031268133113
"195","training",5,"STANDING","time_body_gyro_magnitude_mean",-0.602770284825828
"196","training",5,"STANDING","time_body_gyro_magnitude_std",-0.664078383532781
"197","training",5,"STANDING","time_body_gyro_jerk_magnitude_mean",-0.707383517582782
"198","training",5,"STANDING","time_body_gyro_jerk_magnitude_std",-0.734187493344371
