"dataSource" "subject_id" "activity" "variable" "mean"
"training" 1 "STANDING" "time_body_acceleration_mean_x" 0.265696920582133
"training" 1 "STANDING" "time_body_acceleration_mean_y" -0.0182981725176081
"training" 1 "STANDING" "time_body_acceleration_mean_z" -0.10784573454611
"training" 1 "STANDING" "time_body_acceleration_std_x" -0.545795331328326
"training" 1 "STANDING" "time_body_acceleration_std_y" -0.367716218227378
"training" 1 "STANDING" "time_body_acceleration_std_z" -0.502645746562824
"training" 1 "STANDING" "time_gravity_acceleration_mean_x" 0.744867411573487
"training" 1 "STANDING" "time_gravity_acceleration_mean_y" -0.0825562579855908
"training" 1 "STANDING" "time_gravity_acceleration_mean_z" 0.072339870389049
"training" 1 "STANDING" "time_gravity_acceleration_std_x" -0.959859435936599
"training" 1 "STANDING" "time_gravity_acceleration_std_y" -0.951150627458213
"training" 1 "STANDING" "time_gravity_acceleration_std_z" -0.925817590867435
"training" 1 "STANDING" "time_body_acceleration_jerk_mean_x" 0.0770930495126801
"training" 1 "STANDING" "time_body_acceleration_jerk_mean_y" 0.0165908438802305
"training" 1 "STANDING" "time_body_acceleration_jerk_mean_z" -0.00910758730117003
"training" 1 "STANDING" "time_body_acceleration_jerk_std_x" -0.524721922818732
"training" 1 "STANDING" "time_body_acceleration_jerk_std_y" -0.470412403511239
"training" 1 "STANDING" "time_body_acceleration_jerk_std_z" -0.717322274881844
"training" 1 "STANDING" "time_body_gyro_mean_x" -0.0208764064320173
"training" 1 "STANDING" "time_body_gyro_mean_y" -0.0880722729400576
"training" 1 "STANDING" "time_body_gyro_mean_z" 0.0862641666597983
"training" 1 "STANDING" "time_body_gyro_std_x" -0.686555715201729
"training" 1 "STANDING" "time_body_gyro_std_y" -0.450979810499568
"training" 1 "STANDING" "time_body_gyro_std_z" -0.597496136795101
"training" 1 "STANDING" "time_body_gyro_jerk_mean_x" -0.0971120197265994
"training" 1 "STANDING" "time_body_gyro_jerk_mean_y" -0.0417164808293948
"training" 1 "STANDING" "time_body_gyro_jerk_mean_z" -0.0471393985477522
"training" 1 "STANDING" "time_body_gyro_jerk_std_x" -0.637812687210375
"training" 1 "STANDING" "time_body_gyro_jerk_std_y" -0.634472244550432
"training" 1 "STANDING" "time_body_gyro_jerk_std_z" -0.664591977786455
"training" 1 "STANDING" "time_body_acceleration_magnitude_mean" -0.453632943768818
"training" 1 "STANDING" "time_body_acceleration_magnitude_std" -0.497096402038329
"training" 1 "STANDING" "time_gravity_acceleration_magnitude_mean" -0.453632943768818
"training" 1 "STANDING" "time_gravity_acceleration_magnitude_std" -0.497096402038329
"training" 1 "STANDING" "time_body_acceleration_jerk_magnitude_mean" -0.545431612066571
"training" 1 "STANDING" "time_body_acceleration_jerk_magnitude_std" -0.515922167555159
"training" 1 "STANDING" "time_body_gyro_magnitude_mean" -0.475404785802305
"training" 1 "STANDING" "time_body_gyro_magnitude_std" -0.499839593745821
"training" 1 "STANDING" "time_body_gyro_jerk_magnitude_mean" -0.639517432642651
"training" 1 "STANDING" "time_body_gyro_jerk_magnitude_std" -0.652050770910663
"training" 1 "STANDING" "frequency_body_acceleration_mean_x" -0.531895161258213
"training" 1 "STANDING" "frequency_body_acceleration_mean_y" -0.406435448904438
"training" 1 "STANDING" "frequency_body_acceleration_mean_z" -0.596411165253602
"training" 1 "STANDING" "frequency_body_acceleration_std_x" -0.553060616663401
"training" 1 "STANDING" "frequency_body_acceleration_std_y" -0.390150939647061
"training" 1 "STANDING" "frequency_body_acceleration_std_z" -0.498583091676081
"training" 1 "STANDING" "frequency_body_acceleration_mean_freq_x" -0.180558714010749
"training" 1 "STANDING" "frequency_body_acceleration_mean_freq_y" 0.0576291646962536
"training" 1 "STANDING" "frequency_body_acceleration_mean_freq_z" 0.0583692776609798
"training" 1 "STANDING" "frequency_body_acceleration_jerk_mean_x" -0.547348892435764
"training" 1 "STANDING" "frequency_body_acceleration_jerk_mean_y" -0.507343617969859
"training" 1 "STANDING" "frequency_body_acceleration_jerk_mean_z" -0.695305113832853
"training" 1 "STANDING" "frequency_body_acceleration_jerk_std_x" -0.543979776127867
"training" 1 "STANDING" "frequency_body_acceleration_jerk_std_y" -0.466251676533372
"training" 1 "STANDING" "frequency_body_acceleration_jerk_std_z" -0.737861932680115
"training" 1 "STANDING" "frequency_body_acceleration_jerk_mean_freq_x" -0.0488005965884726
"training" 1 "STANDING" "frequency_body_acceleration_jerk_mean_freq_y" -0.21527915818415
"training" 1 "STANDING" "frequency_body_acceleration_jerk_mean_freq_z" -0.0964496376997118
"training" 1 "STANDING" "frequency_body_gyro_mean_x" -0.623219182311527
"training" 1 "STANDING" "frequency_body_gyro_mean_y" -0.505309434070029
"training" 1 "STANDING" "frequency_body_gyro_mean_z" -0.553529065425648
"training" 1 "STANDING" "frequency_body_gyro_std_x" -0.708263420861671
"training" 1 "STANDING" "frequency_body_gyro_std_y" -0.429825832648703
"training" 1 "STANDING" "frequency_body_gyro_std_z" -0.650476162132565
"training" 1 "STANDING" "frequency_body_gyro_mean_freq_x" -0.0320324102759078
"training" 1 "STANDING" "frequency_body_gyro_mean_freq_y" -0.0901517235974063
"training" 1 "STANDING" "frequency_body_gyro_mean_freq_z" -0.0180063943472334
"training" 1 "STANDING" "frequency_body_acceleration_magnitude_mean" -0.478448523354179
"training" 1 "STANDING" "frequency_body_acceleration_magnitude_std" -0.589710231217867
